Investigation_number,Investigation_title,country,Date Instituted,Staff Conference,Preliminary Determination,pub_no,hearing_date,Final Determination,pub_no
731-TA-1459,Utility Scale Wind Towers,Indonesia,07-09-19,07-30-19,Affirmative,4952,06-25-20,Affirmative,5101
731-TA-1460,Utility Scale Wind Towers,Korea,07-09-19,07-30-19,Affirmative,4952,06-25-20,Affirmative,5101
731-TA-1455,Polyethylene Terephthalate (“PET”) Sheet,Korea,07-09-19,07-30-19,Affirmative,4970,07-14-20,Affirmative,5111
731-TA-1457,Polyethylene Terephthalate (“PET”) Sheet,Oman,07-09-19,07-30-19,Affirmative,4970,07-14-20,Affirmative,5111
701-TA-630,Glass Containers,China,09-25-19,10-16-19,Affirmative,4996,05-06-20,Negative,5068
731-TA-1462,Glass Containers,China,09-25-19,10-16-19,Affirmative,4996,05-06-20,N/A,N/A
701-TA-631,Forged Steel Fittings,India,10-23-19,11-13-19,Affirmative,5006,N/A,N/A,N/A
731-TA-1463,Forged Steel Fittings,Korea,10-23-19,11-13-19,Affirmative,5006,N/A,N/A,N/A
731-TA-1464,Forged Steel Fittings,Korea,10-23-19,11-13-19,Affirmative,5006,N/A,N/A,N/A
731-TA-1465,4th Tier Cigarettes,Korea,12-18-19,01-08-20,Affirmative,5016,N/A,N/A,N/A
701-TA-632,Fluid End Blocks,China,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
701-TA-633,Fluid End Blocks,Germany,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
701-TA-634,Fluid End Blocks,India,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
701-TA-635,Fluid End Blocks,Italy,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
731-TA-1466,Fluid End Blocks,Germany,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
731-TA-1467,Fluid End Blocks,India,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
731-TA-1468,Fluid End Blocks,Italy,12-19-19,01-09-20,Affirmative,5017,N/A,N/A,N/A
701-TA-636,Wood Mouldings and Millwork Products,China,01-08-20,01-29-20,Affirmative,5030,N/A,N/A,N/A
731-TA-1469,Wood Mouldings and Millwork Products,Brazil,01-08-20,01-29-20,Affirmative,5030,N/A,N/A,N/A
731-TA-1470,Wood Mouldings and Millwork Products,China,01-08-20,01-29-20,Affirmative,5030,N/A,N/A,N/A
701-TA-637,Vertical Shaft Engines,China,01-15-20,02-05-20,Affirmative,5034,N/A,N/A,N/A
731-TA-1471,Vertical Shaft Engines,China,01-15-20,02-05-20,Affirmative,5034,N/A,N/A,N/A
731-TA-1472,Difluoromethane (R-32),China,01-23-20,02-13-20,Affirmative,5036,N/A,N/A,N/A
701-TA-638,Corrosion Inhibitors,China,02-05-20,02-26-20,Affirmative,4547,N/A,N/A,N/A
731-TA-1473,Corrosion Inhibitors,China,02-05-20,02-26-20,Affirmative,4547,N/A,N/A,N/A
731-TA-1474,Ultra-High Molecular Weight Polyethylene,Korea,03-04-20,03-24-20,Affirmative,5048,N/A,N/A,N/A
701-TA-639,Common Alloy Aluminum Sheet,Bahrain,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
701-TA-640,Common Alloy Aluminum Sheet,Brazil,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
701-TA-641,Common Alloy Aluminum Sheet,India,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
701-TA-642,Common Alloy Aluminum Sheet,Turkey,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1475,Common Alloy Aluminum Sheet,Bahrain,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1476,Common Alloy Aluminum Sheet,Brazil,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1477,Common Alloy Aluminum Sheet,Croatia,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1478,Common Alloy Aluminum Sheet,Egypt,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1479,Common Alloy Aluminum Sheet,Germany,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1480,Common Alloy Aluminum Sheet,Greece,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1481,Common Alloy Aluminum Sheet,India,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1482,Common Alloy Aluminum Sheet,Indonesia,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1483,Common Alloy Aluminum Sheet,Italy,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1484,Common Alloy Aluminum Sheet,Korea,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1485,Common Alloy Aluminum Sheet,Oman,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1486,Common Alloy Aluminum Sheet,Romania,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1487,Common Alloy Aluminum Sheet,Serbia,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1488,Common Alloy Aluminum Sheet,Slovenia,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
